rho,nu,s,gamma,no,nc,oo,oc,c,y,g,r,h
5,5,WSW,0.8552098094386323,0.2314710661167354,0.07474065741782278,0.1738532683414573,0.5199350081239845,0.1171694423042731,0.1834666563616562,0.7686406223952963,0.015065759183264938,0.9860351597493453
5,15,WSW,0.9773518897350372,0.7907761529808774,0.02974628171478565,0.1327334083239595,0.046744156980377455,0.054620954003407156,0.5135162843087837,0.4875696062102566,0.4367411670503453,0.9985342465655684
5,15,SSW,0.9868227972145414,0.8287714035745531,0.010998625171853519,0.14535683039620048,0.014873140857392825,0.018571672381425226,0.5182940807840806,0.46539801089948934,0.4510636572915624,0.9984385188694203
5,5,SSW,0.8185509824199962,0.336832895888014,0.05324334458192726,0.27259092613423325,0.33733283339582554,0.054312877333395015,0.2054115362790357,0.7417324819288786,0.01685647082374137,0.9883809503839552
5,5,SSW,0.8630004470561226,0.3277090363704537,0.048993875765529306,0.29133858267716534,0.33195850518685166,0.05097384424184352,0.20708719879969836,0.7483187319812981,0.01679041137023321,0.9854027218295832
5,5,WSW,0.8193548524578588,0.2722159730033746,0.08023997000374954,0.1738532683414573,0.47369078865141856,0.0976271186440678,0.20404006614256578,0.7366892400013426,0.020164848363527173,0.987919380690421
5,15,SSW,0.9734974935997339,0.8186476690413699,0.010123734533183352,0.1544806899137608,0.01674790651168604,0.01820388349514563,0.5131178061653054,0.4733369379959211,0.4563024722250025,0.9987900329933851
5,5,SSW,0.9212220864349788,0.30771153605799273,0.05711786026746657,0.2262217222847144,0.40894888138982627,0.05319840530104251,0.20050097029846997,0.7641263350674575,0.013017715944349915,0.9755524188040685
5,5,SSW,0.8581713170738954,0.31296087989001375,0.05936757905261842,0.26059242594675663,0.3670791151106112,0.05753757646963497,0.2032304094779091,0.7624884123713649,0.010744369932939646,0.9835604522447571
5,15,WSW,0.9777032938505085,0.7806524184476941,0.03699537557805274,0.13635795525559305,0.045994250718660167,0.058265300165948115,0.49140313087813,0.4910029115804486,0.40740916825142626,0.9985836941631114
5,15,WSW,0.9590572945514929,0.8000249968753905,0.03087114110736158,0.13060867391576053,0.03849518810148731,0.05155706668727301,0.5120739098439093,0.4807869480472272,0.4235834250825743,0.9985266537872958
5,15,SSW,0.9771662928863798,0.8235220597425322,0.012123484564429446,0.14735658042744657,0.0169978752655918,0.01882286269430052,0.5120360942135934,0.47567652920159825,0.4590820738664798,0.9987185799975755
5,15,SSW,0.9981346219684956,0.8230221222347207,0.012123484564429446,0.14548181477315336,0.01937257842769654,0.019357495881383854,0.5057874941799941,0.48116645598781316,0.39511099989990994,0.9982360886486337
5,5,SSW,0.8526664789267773,0.3560804899387577,0.051618547681539804,0.2815898012748406,0.3107111611048619,0.04764075262543757,0.22346587836337806,0.7309820743336924,0.03169402462215994,0.9898431760614147
5,15,SSW,0.9755092656958647,0.83427071616048,0.009373828271466067,0.14160729908761405,0.014748156480439945,0.018265280393930855,0.5170574858849848,0.4749892551545306,0.4836686017415674,0.9984505695918313
5,15,SSW,0.9648123783634955,0.8323959505061868,0.012498437695288089,0.14148231471066117,0.013623297087864018,0.017135044142402436,0.5189298992073982,0.4733352773351813,0.39614643178860975,0.9986223848138214
5,5,WSW,0.867021151906364,0.25271841019872515,0.07161604799400074,0.17185351831021123,0.5038120234970629,0.10321699167805241,0.19518939717939712,0.7605401807274693,0.011129316384746272,0.9828635310097006
5,5,WSW,0.9333619843601575,0.16585426821647295,0.047994000749906264,0.12273465816772904,0.6634170728658918,0.08584820746225566,0.15094135977385953,0.849773804693965,0.0004072665398858973,0.9369258287568498
5,15,WSW,0.9645244980257872,0.798525184351956,0.031746031746031744,0.13173353330833645,0.03799525059367579,0.05201654928465401,0.5110166804666803,0.4809958399568808,0.41567620858772897,0.9985671880286439
5,5,WSW,0.8531188940751332,0.21497312835895513,0.06636670416197975,0.1603549556305462,0.5583052118485189,0.09679093158777041,0.1717477763077762,0.7858543175141021,0.0031203082774497047,0.9739027103123645
5,5,WSW,0.8753304109114605,0.20884889388826397,0.06761654793150856,0.1419822522184727,0.5815523059617548,0.09848868320196688,0.17325987528987516,0.8029747430519807,0.0006163547192473226,0.9642607751608057
5,5,SSW,0.8453760208037013,0.30771153605799273,0.05974253218347707,0.24734408198975127,0.3852018497687789,0.06525862551921184,0.20468301519801502,0.7554960213233978,0.01929806826143529,0.9853379310065802
5,15,WSW,0.9855878986665013,0.788026496687914,0.033370828646419194,0.13048368953880765,0.048118985126859144,0.053374546153675505,0.5104826256476247,0.4877270550880094,0.32962306075467923,0.9983711209086914
